year,iso3_o,iso3_d,tradeflow_baci,pair
2019,ABW,AFG,440.339,1
2019,ABW,AGO,10.039,2
2019,ABW,ARE,863.826,3
2019,ABW,ARG,.003,4
2019,ABW,ATG,2.039,5
2019,ABW,AUT,175.861,6
2019,ABW,BEL,282.351,7
2019,ABW,BHR,3.825,8
2019,ABW,BMU,8.5,9
2019,ABW,BRB,31.411,10
2019,ABW,CAN,791.066,11
2019,ABW,CHE,804.634,12
2019,ABW,CHN,53.923,13
2019,ABW,COL,812.836,14
2019,ABW,CRI,1.411,15
2019,ABW,CUW,1535.961,16
2019,ABW,CZE,5.903,17
2019,ABW,DEU,120.342,18
2019,ABW,DNK,.529,19
2019,ABW,DOM,11986.931,20
2019,ABW,ECU,50.862,21
2019,ABW,ESP,51.063,22
2019,ABW,FIN,.013,23
2019,ABW,FRA,85.014,24
2019,ABW,GBR,70.27500000000001,25
2019,ABW,GHA,48.87,26
2019,ABW,GRC,3.395,27
2019,ABW,GRD,2.77,28
2019,ABW,GUY,397.178,29
2019,ABW,HKG,293.839,30
2019,ABW,HND,156.422,31
2019,ABW,IDN,62.951,32
2019,ABW,IND,353.674,33
2019,ABW,IRL,.8210000000000001,34
2019,ABW,ITA,183.818,35
2019,ABW,JAM,51.046,36
2019,ABW,JOR,4787.872,37
2019,ABW,KOR,.97,38
2019,ABW,KWT,128.267,39
2019,ABW,LBN,11.386,40
2019,ABW,LCA,2.087,41
2019,ABW,LKA,.105,42
2019,ABW,LUX,184.005,43
2019,ABW,MEX,671.948,44
2019,ABW,MNE,.107,45
2019,ABW,MNG,.088,46
2019,ABW,MOZ,26.755,47
2019,ABW,MUS,6.008,48
2019,ABW,MYS,45462.91,49
2019,ABW,NGA,1.024,50
2019,ABW,NLD,5173.12,51
2019,ABW,NOR,24.967,52
2019,ABW,NPL,.666,53
2019,ABW,NZL,.891,54
2019,ABW,PAK,212.753,55
2019,ABW,PAN,9.159000000000001,56
2019,ABW,PER,25.564,57
2019,ABW,PHL,.156,58
2019,ABW,POL,.528,59
2019,ABW,PRT,1.398,60
2019,ABW,PYF,.14,61
2019,ABW,RUS,.526,62
2019,ABW,RWA,.074,63
2019,ABW,SAU,272.516,64
2019,ABW,SGP,49.778,65
2019,ABW,SLV,4.291,66
2019,ABW,SUR,324.568,67
2019,ABW,SVK,7.589,68
2019,ABW,SVN,59.833,69
2019,ABW,SWE,48.388,70
2019,ABW,SYC,1.365,71
2019,ABW,THA,1552.324,72
2019,ABW,TWN,542.05,73
2019,ABW,USA,10126.691,74
2019,ABW,VCT,7.007000000000001,75
2019,ABW,VEN,3961.022,76
2019,ABW,YEM,256.181,77
2019,ABW,ZAF,33.086,78
2019,AFG,AGO,2.716,79
2019,AFG,ARE,1014691.013,80
2019,AFG,ARG,26.642,81
2019,AFG,ARM,4.958,82
2019,AFG,ATG,.483,83
2019,AFG,AUS,1983.319,84
2019,AFG,AUT,1515.439,85
2019,AFG,AZE,107.525,86
2019,AFG,BEL,3235.012,87
2019,AFG,BFA,9.741,88
2019,AFG,BGD,312.758,89
2019,AFG,BGR,108.474,90
2019,AFG,BHR,680.625,91
2019,AFG,BIH,2.67,92
2019,AFG,BLR,51.984,93
2019,AFG,BOL,4.662,94
2019,AFG,BRA,467.425,95
2019,AFG,BRB,7.053,96
2019,AFG,BRN,1.964,97
2019,AFG,BWA,.521,98
