Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860110000',127,NO,KG,6,231920,947886,0,0,0,6,231920,947886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860120000',106,NO,KG,6,309859,1715590,1,3400,5560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112494,561500,0,0,0,2,193965,1148530,0,0,0
1,2023,'860120000',118,NO,KG,2,17590,25840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17590,25840
1,2023,'860310000',103,NO,KG,3,12365,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7477,42000,0,0,0,0,0,0,0,0,0,0,0,0,1,4888,26000,0,0,0
1,2023,'860310000',106,NO,KG,112,4180454,24784215,6,225481,1306272,12,450962,2612544,6,225481,1306272,12,450962,2612544,6,225481,1306272,12,450962,2612544,12,450962,2612544,8,286379,1946566,0,0,0,12,450962,2612544,6,225481,1306272,20,737341,4549841
1,2023,'860310000',312,NO,KG,4,103456,822200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103456,822200
1,2023,'860390000',103,NO,KG,13,2109,10278,0,0,0,0,0,0,0,0,0,0,0,0,8,984,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1125,6002
1,2023,'860390000',106,NO,KG,20,1370,9165,10,685,4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,685,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860390000',122,NO,KG,15,530000,100350,0,0,0,0,0,0,0,0,0,15,530000,100350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860390000',131,NO,KG,2,352,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,352,641
1,2023,'860390000',514,NO,KG,4,171500,40493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,171500,40493,0,0,0,0,0,0,0,0,0
1,2023,'860400000',106,NO,KG,1,4400,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4400,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860400000',111,NO,KG,3,148800,68800,0,0,0,0,0,0,0,0,0,0,0,0,3,148800,68800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860400000',118,NO,KG,13,143,9616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141,9025,0,0,0,12,2,591,0,0,0
1,2023,'860400000',123,NO,KG,8,181632,625240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,181632,625240,0,0,0,0,0,0,0,0,0
1,2023,'860400000',312,NO,KG,3,13750,112550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13750,112550
1,2023,'860500000',106,NO,KG,108,4131954,24439752,6,229553,1357764,12,459106,2715528,6,229553,1357764,12,459106,2715528,6,229553,1357764,12,459106,2715528,12,459106,2715528,6,229553,1357764,0,0,0,12,459106,2715528,6,229553,1357764,18,688659,4073292
1,2023,'860500000',131,NO,KG,2,247,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,247,238
